SchemaName,ProcedureName,create_date,modify_date
dbo,vsp_rpt_glbalc,2017-04-14 09:46:30.723,2017-04-14 09:46:30.723
dbo,vsp_rpt_glbalr,2017-04-14 09:46:30.747,2017-04-14 09:46:30.747
dbo,vsp_rpt_glbatc,2017-04-14 09:46:30.763,2017-04-14 09:46:30.763
dbo,vsp_rpt_glbsht,2017-04-14 09:46:30.780,2017-04-14 09:46:30.780
dbo,vsp_rpt_glbudc,2017-04-14 09:46:30.797,2017-04-14 09:46:30.797
dbo,vsp_rpt_glbudl,2017-04-14 09:46:30.817,2017-04-14 09:46:30.817
dbo,vsp_rpt_glbudy,2017-04-14 09:46:30.833,2017-04-14 09:46:30.833
dbo,vsp_rpt_glcaba,2017-04-14 09:46:30.853,2017-04-14 09:46:30.853
dbo,vsp_rpt_glcabr,2017-04-14 09:46:30.870,2017-04-14 09:46:30.870
dbo,vsp_rpt_glcatg,2017-04-14 09:46:30.890,2017-04-14 09:46:30.890
dbo,vsp_rpt_glcbud,2017-04-14 09:46:30.907,2017-04-14 09:46:30.907
dbo,vsp_rpt_glcflw,2017-04-14 09:46:30.953,2017-04-14 09:46:30.953
dbo,vsp_rpt_glclass_addcpdstr,2017-04-14 09:46:30.970,2017-04-14 09:46:30.970
dbo,vsp_rpt_glconh,2017-04-14 09:46:34.803,2017-04-14 09:46:34.803
dbo,vsp_rpt_glcrcd,2017-04-14 09:46:30.993,2017-04-14 09:46:30.993
dbo,vsp_rpt_glfpos,2017-04-14 09:46:31.013,2017-04-14 09:46:31.013
dbo,vsp_rpt_glgstr,2017-04-14 09:46:31.033,2017-04-14 09:46:31.033
dbo,vsp_rpt_glicfl,2017-04-14 09:46:35.187,2017-04-14 09:46:35.187
dbo,vsp_rpt_glismt,2017-04-14 09:46:31.050,2017-04-14 09:46:31.050
dbo,vsp_rpt_gljnrl,2017-04-14 09:46:31.073,2017-04-14 09:46:31.073
dbo,vsp_rpt_gljnrln,2017-04-14 09:46:31.097,2017-04-14 09:46:31.097
dbo,vsp_rpt_glledg,2017-04-14 09:46:31.123,2017-05-04 07:53:23.500
dbo,vsp_rpt_glpdis,2017-04-14 09:46:34.717,2017-04-14 09:46:34.717
dbo,vsp_rpt_glrate,2017-04-14 09:46:31.147,2017-04-14 09:46:31.147
dbo,vsp_rpt_glrept_assignlevel,2017-04-14 09:46:31.163,2017-04-14 09:46:31.163
dbo,vsp_rpt_glrept_calc_ratio,2017-04-14 09:46:31.183,2017-04-14 09:46:31.183
dbo,vsp_rpt_glrept_get_total,2017-04-14 09:46:31.203,2017-04-14 09:46:31.203
dbo,vsp_rpt_glsact,2017-04-14 09:46:31.217,2017-04-14 09:46:31.217
dbo,vsp_rpt_glschd,2017-04-14 09:46:31.237,2017-04-14 09:46:31.237
dbo,vsp_rpt_glscls,2017-04-14 09:46:31.253,2017-04-14 09:46:31.253
dbo,vsp_rpt_glsegv,2017-04-14 09:46:31.270,2017-04-14 09:46:31.270
dbo,vsp_rpt_glsofp,2017-04-14 09:46:34.830,2017-04-14 09:46:34.830
dbo,vsp_rpt_glsumm,2017-04-14 09:46:31.293,2017-04-14 09:46:31.293
dbo,vsp_rpt_gltfer,2017-04-14 09:46:34.787,2017-04-14 09:46:34.787
dbo,vsp_rpt_gltrbl,2017-04-14 09:46:31.310,2017-04-16 11:23:33.447
dbo,vsp_rpt_gltrbl_new,2011-08-11 20:26:12.657,2013-08-20 08:15:46.123
