SchemaName,ViewName,create_date,modify_date
dbo,vm_mk_reactivated,2025-09-10 13:20:43.567,2025-09-10 13:20:43.567
dbo,vm_Mk_reactivations,2024-12-05 11:42:46.980,2024-12-05 11:42:46.980
dbo,vm_mk_rebatemonthlyandTargets,2015-08-06 12:20:47.467,2015-08-06 12:20:47.467
dbo,vm_mk_rebatemonthlyandTargets2,2015-08-06 12:58:04.343,2015-08-06 12:58:04.343
dbo,vm_mk_received,2019-06-18 07:46:10.693,2019-06-18 08:57:55.180
dbo,vm_mk_RecentOnders,2020-11-18 07:59:31.660,2020-11-18 08:02:48.913
dbo,vm_mk_Recruitdates,2014-06-03 09:35:31.510,2015-08-25 09:47:02.110
dbo,vm_mk_Recruiters,2021-06-14 10:05:58.610,2021-06-14 10:21:29.403
dbo,vm_Mk_RecruitRace,2017-01-12 14:19:01.180,2018-02-07 13:54:25.933
dbo,vm_mk_RecruitsActTarget,2015-08-17 07:44:00.440,2015-08-17 13:19:39.970
dbo,vm_mk_Registrations,2020-08-31 11:59:37.497,2020-08-31 11:59:37.497
dbo,vm_mk_revsales,2013-12-23 08:29:25.140,2013-12-23 10:25:04.850
dbo,vm_mk_revsales2,2013-12-23 10:21:55.243,2013-12-23 10:37:25.700
dbo,vm_mk_rma,2014-07-03 14:27:02.400,2014-07-03 14:36:09.703
dbo,vm_mk_RMACredits,2014-07-15 14:10:22.827,2014-09-22 10:14:12.123
dbo,vm_mk_RoyalTEaBalance,2020-06-12 15:03:33.447,2021-08-04 12:52:06.853
dbo,vm_Mk_RRBal_Customer,2021-06-10 10:59:17.747,2021-06-10 10:59:17.747
dbo,vm_mk_RuleTest,2015-06-02 08:28:09.650,2015-06-02 11:53:00.110
dbo,vm_mk_SaleAOP_Prov,2016-02-17 07:39:08.670,2016-02-17 09:57:39.570
dbo,vm_mk_saleAvg1,2014-02-27 11:55:03.787,2014-05-12 09:20:35.930
dbo,vm_mk_Sales_budgetExports,2016-02-17 12:16:38.287,2016-02-17 12:16:38.287
dbo,vm_mk_sales_orders,2014-02-03 16:02:55.503,2014-02-04 15:05:19.873
dbo,vm_mk_SalesandFreeItems,2014-12-03 07:52:15.360,2014-12-03 07:52:15.360
dbo,vm_mk_salesAOP,2016-02-16 11:39:21.900,2016-02-16 14:52:55.920
dbo,vm_mk_salesaveragepermonth,2014-05-09 08:59:35.767,2014-06-10 08:45:36.540
dbo,vm_mk_SalesAvg,2014-02-28 09:49:47.350,2014-04-08 10:45:28.050
dbo,vm_mk_SalesAvg1a,2014-02-27 14:19:11.433,2014-04-08 11:27:33.763
