SchemaName,TableName,RowCount
dbo,SP,1299
dbo,spn,3804
dbo,spon,895
dbo,sponsor,4075
dbo,sponsora,4075
dbo,sponsordtl1,0
dbo,sponsors,4075
dbo,SR_MLM2,0
dbo,STATEMENTdata,516061
dbo,stcost,6050
dbo,std,195
dbo,std2,195
dbo,stdcost,147
dbo,stdcostupd,651
dbo,stmt,14698
dbo,suburbs,28183
dbo,SUMCASH,40
dbo,sysdiagrams,0
dbo,t2,197
dbo,t3,197
dbo,tempcf,59
dbo,test111,73
dbo,test2,6
dbo,TEST30,196
dbo,TEST31,195
dbo,TEST32,35
dbo,TEST33,66
dbo,TEST34,1
dbo,testss,10
dbo,testwma1x,57720
dbo,testwmax,4666
dbo,tmp_prc,159
dbo,tmpFNB,801
dbo,TradeGroup,26
dbo,TradeGroupCust,24800
dbo,TradeGroupCustOld,190023
dbo,TradeGroupOld,10
dbo,"Trading_Consultants_Monthly ",7
dbo,transferlog,2096
dbo,TREPORT,8369
dbo,treportt,10678
dbo,ttreport,191541
dbo,updateitem,5389
dbo,UserDummy,1
dbo,usrovr,133
dbo,usrtbl,0
dbo,Voucher,518
dbo,Voucher2,42
dbo,VR,124
dbo,vr1,501
dbo,vr2,287
dbo,WebOrderTrace,620464
dbo,wma,931
dbo,wma1,3633
dbo,wma2,3633
dbo,wma222,9600
dbo,wma3,3633
dbo,wma4,64
dbo,ws_Setting,0
dbo,wsLowStock,392
dbo,wsSetting,2
dbo,xDeleted,1
dbo,xInserted,1
